item_id,count,pick_rate,spread,wins,win_rate,tags,name,full_item,total_gold,count_unmasked,wr_unmasked,wr_std_unmasked
3094,604,0.0652972972972973,20,326.0,0.5397350993377483,"[AttackSpeed, CriticalStrike, NonbootsMovement, OnHit]",Rapid Firecannon,True,2800.0,392.0,0.5612244897959183,0.025063773854299417
3095,917,0.09913513513513514,40,497.0,0.5419847328244275,"[Damage, CriticalStrike, AttackSpeed, OnHit, NonbootsMovement]",Stormrazor,True,2800.0,499.0,0.5771543086172345,0.02211498520154427
3096,116,0.01254054054054054,17,52.0,0.4482758620689655,"[HealthRegen, ManaRegen, Active, GoldPer, CooldownReduction, NonbootsMovement]",Nomad's Medallion,False,850.0,114.0,0.4473684210526316,0.04656912584059398
3097,141,0.015243243243243243,25,64.0,0.4539007092198582,"[Aura, GoldPer, Health, HealthRegen]",Targon's Brace,False,850.0,129.0,0.4496124031007752,0.04379843631759079
3098,453,0.04897297297297297,35,219.0,0.4834437086092716,"[SpellDamage, ManaRegen, Active, GoldPer, CooldownReduction]",Frostfang,False,850.0,319.0,0.47648902821316613,0.027963659478479105
3100,317,0.03427027027027027,31,173.0,0.5457413249211357,"[SpellDamage, Mana, CooldownReduction, NonbootsMovement]",Lich Bane,True,3200.0,253.0,0.5573122529644269,0.0312275409039785
3101,65,0.007027027027027027,23,25.0,0.38461538461538464,"[AttackSpeed, CooldownReduction]",Stinger,False,1100.0,65.0,0.38461538461538464,0.06034342619636432
3102,183,0.019783783783783784,48,109.0,0.5956284153005464,"[SpellBlock, SpellDamage, CooldownReduction]",Banshee's Veil,True,3000.0,145.0,0.6206896551724138,0.0402949476711808
3105,124,0.013405405405405406,27,53.0,0.4274193548387097,"[SpellBlock, Armor]",Aegis of the Legion,False,1100.0,118.0,0.423728813559322,0.045490053496446754
3107,365,0.039459459459459466,23,194.0,0.5315068493150685,"[Health, HealthRegen, ManaRegen, CooldownReduction]",Redemption,True,2100.0,269.0,0.5427509293680297,0.030373900337349387
3108,226,0.024432432432432438,56,108.0,0.4778761061946903,"[CooldownReduction, SpellDamage]",Fiendish Codex,False,900.0,196.0,0.4744897959183674,0.035667771816667845
3109,326,0.035243243243243245,40,178.0,0.5460122699386503,"[Health, Armor, Aura, CooldownReduction, NonbootsMovement]",Knight's Vow,True,2200.0,258.0,0.5581395348837209,0.030917481726244353
